28,"Del Paraiso Elemental Line Churchill","7","50","MEX","MEX","MEX","Colorado","Medium",
28,"Del Paraiso Elemental Line Churchill Maduro","7","50","MEX","MEX","MEX","Maduro","Medium",
28,"Del Paraiso Elemental Line D.C.O.","4.5","30","MEX","MEX","MEX","Colorado","Medium",
28,"Del Paraiso Elemental Line D.C.O. Maduro","4.5","30","MEX","MEX","MEX","Maduro","Medium",
28,"Del Paraiso Elemental Line Diplomatico","5.25","38","MEX","MEX","MEX","Colorado","Medium",
28,"Del Paraiso Elemental Line Diplomatico Maduro","5.25","38","MEX","MEX","MEX","Maduro","Medium",
28,"Del Paraiso Elemental Line Lady Karen","5.5","26","MEX","MEX","MEX","Colorado","Medium",
28,"Del Paraiso Elemental Line Lady Karen Maduro","5.5","26","MEX","MEX","MEX","Maduro","Medium",
28,"Del Paraiso Elemental Line No.4","5","42","MEX","MEX","MEX","Colorado","Medium",
28,"Del Paraiso Elemental Line No.4 Maduro","5","42","MEX","MEX","MEX","Maduro","Medium",
