26,"Dominican Estates Corona Gorda Natural (discontinued)","6","50","DR","DR","CTS/USA","Colorado Claro","Mild",
26,"Dominican Estates Double Corona Natural (discontinued)","7","50","DR","DR","CTS/USA","Colorado Claro","Mild",
26,"Dominican Estates Full Corona","5.5","43","DR","DR/INDO","INDO","Claro","Mild",
26,"Dominican Estates Full Corona (discontinued)","5.5","43","DR","DR","CTS/USA","Colorado Claro","Mild",
26,"Dominican Estates Lonsdale","6.62","44","DR","DR/INDO","INDO","Claro","Mild",
26,"Dominican Estates Lonsdale (discontinued)","6.5","43","DR","DR","CTS/USA","Colorado Claro","Mild",
26,"Dominican Estates Robusto EMS (discontinued)","4.5","50","DR","DR","CTS","Claro","Mild-Medium",
26,"Dominican Estates Robusto Natural","5","50","DR","DR","CT","Colorado Maduro","Mild-Medium",
26,"Dominican Estates Robusto Natural (discontinued) ","4.5","50","DR","DR/INDO","INDO","Colorado Claro","Mild",
26,"Dominican Estates Selection 44 x 5 1/2 (Corona)","5.5","44","DR","CTB/INDO","INDO","Colorado Claro","Mild",
